layer,channel,ablation_delta,log_alpha
stage3.0.conv1,249,-0.0100072817876935,1.9425050020217896
stage3.1.conv1,0,0.0008565260795876384,1.9154359102249146
stage3.1.conv1,1,-0.0029972440097481012,1.9179487228393555
stage3.1.conv1,2,-0.0006506838835775852,1.9376757144927979
stage3.1.conv1,5,-0.00046533794375136495,1.9625414609909058
stage3.1.conv1,10,-0.0022286006715148687,1.9202405214309692
stage3.1.conv1,19,0.0005345255485735834,2.005690097808838
stage3.1.conv1,31,-0.0021661182399839163,1.9289649724960327
stage3.1.conv1,38,-0.007991605438292027,1.883934736251831
stage3.1.conv1,41,0.0004548927245195955,1.9219988584518433
stage3.1.conv1,44,-0.0006803756696172059,1.9367995262145996
stage3.1.conv1,51,-0.001547032268717885,1.9179713726043701
stage3.1.conv1,73,-0.0001613646454643458,1.9732332229614258
stage3.1.conv1,83,0.001021030475385487,1.927944302558899
stage3.1.conv1,88,-0.00039529261994175613,1.957813024520874
stage3.1.conv1,99,0.0011628278298303485,1.9075264930725098
stage3.1.conv1,117,-0.0006206270190887153,1.9379158020019531
stage3.1.conv1,118,6.086511712055653e-05,1.9602062702178955
stage3.1.conv1,119,-0.0007881352212280035,1.9222217798233032
stage3.1.conv1,120,0.00014168396592140198,1.9881571531295776
stage3.1.conv1,123,-0.003957750275731087,1.9771363735198975
stage3.1.conv1,124,-0.001065897406078875,1.9439363479614258
stage3.1.conv1,125,0.0026526395231485367,1.9554921388626099
stage3.1.conv1,126,0.0034566083922982216,2.008981704711914
stage3.1.conv1,133,0.0005678972811438143,1.9991285800933838
stage3.1.conv1,139,0.00046863051829859614,1.9266676902770996
stage3.1.conv1,144,-0.0034182502422481775,1.9176170825958252
stage3.1.conv1,147,0.001586150610819459,1.9351128339767456
stage3.1.conv1,151,0.0003468310460448265,1.9503368139266968
stage3.1.conv1,154,0.00037837831769138575,1.9844120740890503
stage3.1.conv1,156,-0.006493386346846819,1.9185150861740112
stage3.1.conv1,163,0.0004207483434583992,1.857445478439331
stage3.1.conv1,165,0.0011593082454055548,1.8634283542633057
stage3.1.conv1,166,4.563400580082089e-05,1.9462238550186157
stage3.1.conv1,167,-0.0005608699284493923,1.9332878589630127
stage3.1.conv1,170,-0.004589928314089775,1.9064308404922485
stage3.1.conv1,172,0.0007036959868855774,1.9398549795150757
stage3.1.conv1,177,-0.0006149959517642856,1.9319355487823486
stage3.1.conv1,182,0.0005252687842585146,1.9503980875015259
stage3.1.conv1,185,-0.0009329061722382903,1.984043002128601
stage3.1.conv1,186,-0.0012047140626236796,1.9272102117538452
stage3.1.conv1,190,-0.00154886394739151,1.9042195081710815
stage3.1.conv1,193,0.0020145669113844633,1.8787059783935547
stage3.1.conv1,196,0.00018082925816997886,1.965459942817688
stage3.1.conv1,198,0.00046984589425846934,1.9925287961959839
stage3.1.conv1,199,0.00041245968895964324,2.001075029373169
stage3.1.conv1,205,0.000963112514000386,1.92758047580719
stage3.1.conv1,206,0.0013727927580475807,1.9609965085983276
stage3.1.conv1,210,-0.0007547778077423573,1.9150962829589844
stage3.1.conv1,211,0.0009665224351920187,1.9156761169433594
